Donchian,VolThresh,StopMult,TPMult,NetReturn,MaxDrawdown,Sharpe
40,1.0,1.5,6.0,-0.008941046153829848,-0.2435014449092323,0.07051912168844862
30,1.0,1.5,8.0,-0.01220403208445059,-0.25170536550015754,0.06646902715435145
30,0.8,1.5,4.0,-0.02754978763657091,-0.2959212603764979,0.06334116852814559
30,0.8,2.0,6.0,-0.04931472703329473,-0.33611831684666577,0.05646186801257504
10,1.2,1.5,10.0,-0.014750574717443487,-0.19504692500974316,0.043159459603634744
10,1.2,2.5,10.0,-0.03168690321268896,-0.29585089467032244,0.03924493444831181
10,1.2,1.5,6.0,-0.014213947891926728,-0.18546085657927677,0.03785340284971239
30,0.8,2.0,4.0,-0.05335233576354913,-0.33543194676235294,0.036546651224086825
30,1.0,1.5,4.0,-0.027577582388335575,-0.25785887600895113,0.03056324545477985
20,0.8,2.0,8.0,-0.08817706334408977,-0.33015855866567567,0.02113072191623772
10,1.2,1.5,8.0,-0.032408283562649375,-0.19003204058717318,-0.004054312285167327
10,1.0,2.0,6.0,-0.09429743460362551,-0.3391882204079652,-0.007351290672778581
20,0.8,2.0,10.0,-0.10674256854907853,-0.3286623509638176,-0.007904505477239848
10,0.8,1.5,10.0,-0.14333187209278622,-0.4155579453062721,-0.01137722718692278
40,1.0,2.0,6.0,-0.06283258391796917,-0.29685034438029184,-0.02779579161907214
10,1.2,3.0,6.0,-0.07296994636469208,-0.3290543193753173,-0.028786282989087832
20,1.0,3.0,8.0,-0.1289159709590951,-0.40680151051065305,-0.02945885318282894
20,0.8,1.5,4.0,-0.08754725158581422,-0.2983806874569325,-0.0301788693365349
40,0.8,3.0,10.0,-0.1297109012081257,-0.3780436608100056,-0.030696522988265963
40,1.0,2.0,10.0,-0.07567295901162506,-0.29535519847818775,-0.033508388065141156
20,1.0,2.5,10.0,-0.10950404989631789,-0.331348959864424,-0.03355367497012354
10,0.8,1.5,6.0,-0.15874646025925596,-0.40800640815502903,-0.04902506334009163
20,0.8,3.0,8.0,-0.18551396986356558,-0.49512516942716817,-0.04941615119518594
40,1.2,2.5,4.0,-0.04731628422365266,-0.17264306880732674,-0.057953422519517725
40,0.8,3.0,8.0,-0.14167820522474978,-0.3718210227761039,-0.06089392216212399
30,1.0,3.0,10.0,-0.14046690455024982,-0.4514308628092334,-0.06294883621611023
20,1.0,2.5,8.0,-0.1268170816889007,-0.3364652106707126,-0.065432671622658
20,0.8,2.0,4.0,-0.1315312012990802,-0.3394738082917094,-0.06937926148744972
10,1.0,2.0,10.0,-0.13875814537875958,-0.34677047515646087,-0.07169556679729462
10,1.2,3.0,8.0,-0.0910406808923517,-0.3321134801421879,-0.07274661747705918
10,0.8,2.0,10.0,-0.22225342493009476,-0.4444579599107534,-0.07304673221626147
20,1.0,2.5,6.0,-0.12238530883097774,-0.32209623198161547,-0.0759567624919063
30,1.0,2.0,8.0,-0.09314863577750748,-0.2881239726438651,-0.07709661696741635
10,0.8,2.0,8.0,-0.22801592272239496,-0.45500181682969537,-0.08346505749752865
